"","uniprot_name","uniprot_accessions","knownness","gene_name","protein_name","taxon_id","species","cluster_id","panther_group"
"74","ANR12_HUMAN","Q658K1","0","ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)","9606","Homo sapiens","UKP09986","PTHR24149"
"75","ANR12_HUMAN","Q6QMF7","0","ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)","9606","Homo sapiens","UKP09986","PTHR24149"
"76","ANR12_HUMAN","Q9H231","0","ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)","9606","Homo sapiens","UKP09986","PTHR24149"
"77","ANR12_HUMAN","Q9H784","0","ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)","9606","Homo sapiens","UKP09986","PTHR24149"
"78","EIF1A_HUMAN","Q8N9N8","0","EIF1AD","Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)","9606","Homo sapiens","UKP02199","PTHR21641"
"79","EIF1A_HUMAN","B2R4N5","0","EIF1AD","Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)","9606","Homo sapiens","UKP02199","PTHR21641"
"80","EIF1A_HUMAN","Q9BSC1","0","EIF1AD","Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)","9606","Homo sapiens","UKP02199","PTHR21641"
"81","TM214_HUMAN","Q6NUQ4","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"82","TM214_HUMAN","A6NNF2","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"83","TM214_HUMAN","B3KUI9","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"84","TM214_HUMAN","B5MCD8","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"85","TM214_HUMAN","D6W547","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"86","TM214_HUMAN","Q53SW1","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"87","TM214_HUMAN","Q69YH4","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"88","TM214_HUMAN","Q8NC45","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"89","TM214_HUMAN","Q8WZ37","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"90","TM214_HUMAN","Q9NXH2","0","TMEM214","Transmembrane protein 214","9606","Homo sapiens","UKP00989","PTHR13448"
"91","TMM51_HUMAN","Q9NW97","0","TMEM51","Transmembrane protein 51","9606","Homo sapiens","UKP09345","PTHR16015"
"92","TMM51_HUMAN","A8K819","0","TMEM51","Transmembrane protein 51","9606","Homo sapiens","UKP09345","PTHR16015"
"93","LRFN1_HUMAN","Q9P244","0","LRFN1","Leucine-rich repeat and fibronectin type III domain-containing protein 1 (Synaptic adhesion-like molecule 2)","9606","Homo sapiens","UKP06969","PTHR45842"
"94","LRFN1_HUMAN","Q8TBS9","0","LRFN1","Leucine-rich repeat and fibronectin type III domain-containing protein 1 (Synaptic adhesion-like molecule 2)","9606","Homo sapiens","UKP06969","PTHR45842"
"95","TM218_HUMAN","A2RU14","0","TMEM218","Transmembrane protein 218","9606","Homo sapiens","UKP07554","PTHR31622"
"96","TM218_HUMAN","B7ZM48","0","TMEM218","Transmembrane protein 218","9606","Homo sapiens","UKP07554","PTHR31622"
"97","TGON2_HUMAN","O43493","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"98","TGON2_HUMAN","B2R686","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"99","TGON2_HUMAN","B8ZZ88","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"100","TGON2_HUMAN","D6W5K3","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"101","TGON2_HUMAN","F8W8W7","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"102","TGON2_HUMAN","F8WBK2","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"103","TGON2_HUMAN","J3KQ45","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"104","TGON2_HUMAN","O15282","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"105","TGON2_HUMAN","O43492","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"106","TGON2_HUMAN","O43499","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"107","TGON2_HUMAN","O43500","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"108","TGON2_HUMAN","O43501","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"109","TGON2_HUMAN","Q53G68","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"110","TGON2_HUMAN","Q53GV2","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"111","TGON2_HUMAN","Q6MZV1","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"112","TGON2_HUMAN","Q6ZTM7","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"113","TGON2_HUMAN","Q8N6T8","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"114","TGON2_HUMAN","Q92760","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"115","TGON2_HUMAN","Q96QL2","0","TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)","9606","Homo sapiens","UKP08825","PTHR23211"
"116","CT451_HUMAN","Q5HYN5","0","CT45A1","Cancer/testis antigen family 45 member A1 (Cancer/testis antigen 45-1) (Cancer/testis antigen 45A1)","9606","Homo sapiens","UKP09437","PTHR12957"
"117","CT451_HUMAN","B9EIR8","0","CT45A1","Cancer/testis antigen family 45 member A1 (Cancer/testis antigen 45-1) (Cancer/testis antigen 45A1)","9606","Homo sapiens","UKP09437","PTHR12957"
"118","F168B_HUMAN","A1KXE4","0","FAM168B","Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)","9606","Homo sapiens","UKP09032","PTHR31844"
"119","F168B_HUMAN","Q2TAZ6","0","FAM168B","Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)","9606","Homo sapiens","UKP09032","PTHR31844"
"120","F168B_HUMAN","Q6NZ40","0","FAM168B","Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)","9606","Homo sapiens","UKP09032","PTHR31844"
"121","F193B_HUMAN","Q96PV7","0","FAM193B","Protein FAM193B","9606","Homo sapiens","UKP09103","PTHR15109"
"122","F193B_HUMAN","E9PET5","0","FAM193B","Protein FAM193B","9606","Homo sapiens","UKP09103","PTHR15109"
"123","F193B_HUMAN","Q9NW00","0","FAM193B","Protein FAM193B","9606","Homo sapiens","UKP09103","PTHR15109"
"124","R3HCL_HUMAN","Q7Z5L2","0","R3HCC1L","Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)","9606","Homo sapiens","UKP03300","PTHR21678"
"125","R3HCL_HUMAN","O60598","0","R3HCC1L","Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)","9606","Homo sapiens","UKP03300","PTHR21678"
"126","R3HCL_HUMAN","Q5W0B4","0","R3HCC1L","Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)","9606","Homo sapiens","UKP03300","PTHR21678"
"127","R3HCL_HUMAN","Q5W0B5","0","R3HCC1L","Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)","9606","Homo sapiens","UKP03300","PTHR21678"
"128","R3HCL_HUMAN","Q86VT9","0","R3HCC1L","Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)","9606","Homo sapiens","UKP03300","PTHR21678"
"129","R3HCL_HUMAN","Q8N9H0","0","R3HCC1L","Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)","9606","Homo sapiens","UKP03300","PTHR21678"
"130","GOLM1_HUMAN","Q8NBJ4","0","GOLM1","Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)","9606","Homo sapiens","UKP08010","PTHR15896"
"131","GOLM1_HUMAN","Q6IAF4","0","GOLM1","Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)","9606","Homo sapiens","UKP08010","PTHR15896"
"132","GOLM1_HUMAN","Q9NRB9","0","GOLM1","Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)","9606","Homo sapiens","UKP08010","PTHR15896"
"133","JUPI1_HUMAN","Q9UK76","0","JPT1","Jupiter microtubule associated homolog 1 (Androgen-regulated protein 2) (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]","9606","Homo sapiens","UKP08021","PTHR34930"
"134","JUPI1_HUMAN","B2R6K3","0","JPT1","Jupiter microtubule associated homolog 1 (Androgen-regulated protein 2) (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]","9606","Homo sapiens","UKP08021","PTHR34930"
"135","JUPI1_HUMAN","Q53FG7","0","JPT1","Jupiter microtubule associated homolog 1 (Androgen-regulated protein 2) (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]","9606","Homo sapiens","UKP08021","PTHR34930"
"136","JUPI1_HUMAN","Q7Z2D2","0","JPT1","Jupiter microtubule associated homolog 1 (Androgen-regulated protein 2) (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]","9606","Homo sapiens","UKP08021","PTHR34930"
"137","JUPI1_HUMAN","Q7Z2F0","0","JPT1","Jupiter microtubule associated homolog 1 (Androgen-regulated protein 2) (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]","9606","Homo sapiens","UKP08021","PTHR34930"
"138","CMIP_HUMAN","Q8IY22","0","CMIP","C-Maf-inducing protein (c-Mip) (Truncated c-Maf-inducing protein) (Tc-Mip)","9606","Homo sapiens","UKP09257","PTHR25480"
